id,Name,Code
escalator,Escalator,f1a1
escalator_warning,Escalator Warning,f1ac
euro,Euro,ea15
euro_symbol,Euro Symbol,e926
ev_station,Ev Station,e56d
event,Event,e878
event_available,Event Available,e614
event_busy,Event Busy,e615
event_note,Event Note,e616
event_seat,Event Seat,e903
exit_to_app,Exit to App,e879
expand,Expand,e94f
expand_less,Expand Less,e5ce
expand_more,Expand More,e5cf
explicit,Explicit,e01e
explore,Explore,e87a
explore_off,Explore Off,e9a8
exposure,Exposure,e3ca
exposure_minus_1,Exposure Minus 1,e3cb
exposure_minus_2,Exposure Minus 2,e3cc
exposure_neg_1,Exposure Neg 1,e3cb
exposure_neg_2,Exposure Neg 2,e3cc
exposure_plus_1,Exposure Plus 1,e3cd
exposure_plus_2,Exposure Plus 2,e3ce
exposure_zero,Exposure Zero,e3cf
extension,Extension,e87b
face,Face,e87c
face_retouching_natural,Face Retouching Natural,ef4e
facebook,Facebook,f234
fact_check,Fact Check,f0c5
family_restroom,Family Restroom,f1a2
fast_forward,Fast Forward,e01f
fast_rewind,Fast Rewind,e020
fastfood,Fastfood,e57a
favorite,Favorite,e87d
favorite_border,Favorite Border,e87e
favorite_outline,Favorite Outline,e87e
featured_play_list,Featured Play List,e06d
featured_video,Featured Video,e06e
feedback,Feedback,e87f
fence,Fence,f1f6
festival,Festival,ea68
fiber_dvr,Fiber Dvr,e05d
fiber_manual_record,Fiber Manual Record,e061
fiber_new,Fiber New,e05e
fiber_pin,Fiber Pin,e06a
fiber_smart_record,Fiber Smart Record,e062
file_copy,File Copy,e173
file_download,File Download,e2c4
file_download_done,File Download Done,e9aa
file_present,File Present,ea0e
file_upload,File Upload,e2c6
filter,Filter,e3d3
filter_1,Filter 1,e3d0
filter_2,Filter 2,e3d1
filter_3,Filter 3,e3d2
filter_4,Filter 4,e3d4
filter_5,Filter 5,e3d5
filter_6,Filter 6,e3d6
filter_7,Filter 7,e3d7
filter_8,Filter 8,e3d8
filter_9,Filter 9,e3d9
filter_9_plus,Filter 9 Plus,e3da
filter_alt,Filter Alt,ef4f
filter_b_and_w,Filter B and W,e3db
filter_center_focus,Filter Center Focus,e3dc
filter_drama,Filter Drama,e3dd
filter_frames,Filter Frames,e3de
filter_hdr,Filter Hdr,e3df
filter_list,Filter List,e152
filter_list_alt,Filter List Alt,e94e
filter_none,Filter None,e3e0
filter_tilt_shift,Filter Tilt Shift,e3e2
filter_vintage,Filter Vintage,e3e3
find_in_page,Find in Page,e880
find_replace,Find Replace,e881
fingerprint,Fingerprint,e90d
fire_extinguisher,Fire Extinguisher,f1d8
fire_hydrant,Fire Hydrant,f1a3
fireplace,Fireplace,ea43
first_page,First Page,e5dc
fit_screen,Fit Screen,ea10
fitness_center,Fitness Center,eb43
flag,Flag,e153
flaky,Flaky,ef50
flare,Flare,e3e4
flash_auto,Flash Auto,e3e5
flash_off,Flash Off,e3e6
flash_on,Flash on,e3e7
flight,Flight,e539
flight_land,Flight Land,e904
flight_takeoff,Flight Takeoff,e905
flip,Flip,e3e8
flip_camera_android,Flip Camera Android,ea37
flip_camera_ios,Flip Camera Ios,ea38
flip_to_back,Flip to Back,e882
flip_to_front,Flip to Front,e883
folder,Folder,e2c7
folder_open,Folder Open,e2c8
folder_shared,Folder Shared,e2c9
folder_special,Folder Special,e617
follow_the_signs,Follow the Signs,f222
font_download,Font Download,e167
food_bank,Food Bank,f1f2
format_align_center,Format Align Center,e234
format_align_justify,Format Align Justify,e235
format_align_left,Format Align Left,e236
format_align_right,Format Align Right,e237
format_bold,Format Bold,e238
format_clear,Format Clear,e239
format_color_fill,Format Color Fill,e23a
format_color_reset,Format Color Reset,e23b
format_color_text,Format Color Text,e23c
format_indent_decrease,Format Indent Decrease,e23d
format_indent_increase,Format Indent Increase,e23e
format_italic,Format Italic,e23f
format_line_spacing,Format Line Spacing,e240
format_list_bulleted,Format List Bulleted,e241
format_list_numbered,Format List Numbered,e242
format_list_numbered_rtl,Format List Numbered Rtl,e267
format_paint,Format Paint,e243
format_quote,Format Quote,e244
format_shapes,Format Shapes,e25e
format_size,Format Size,e245
format_strikethrough,Format Strikethrough,e246
format_textdirection_l_to_r,Format Textdirection L to R,e247
format_textdirection_r_to_l,Format Textdirection R to L,e248
format_underline,Format Underline,e249
format_underlined,Format Underlined,e249
forum,Forum,e0bf
forward,Forward,e154
forward_10,Forward 10,e056
forward_30,Forward 30,e057
forward_5,Forward 5,e058
forward_to_inbox,Forward to Inbox,f187
foundation,Foundation,f200
free_breakfast,Free Breakfast,eb44
fullscreen,Fullscreen,e5d0
fullscreen_exit,Fullscreen Exit,e5d1
functions,Functions,e24a
g_translate,G Translate,e927
gamepad,Gamepad,e30f
games,Games,e021
gavel,Gavel,e90e
gesture,Gesture,e155
get_app,Get App,e884
gif,Gif,e908
goat,Goat,10fffd
golf_course,Golf Course,eb45
gps_fixed,Gps Fixed,e1b3
gps_not_fixed,Gps Not Fixed,e1b4
gps_off,Gps Off,e1b5
grade,Grade,e885
gradient,Gradient,e3e9
grading,Grading,ea4f
grain,Grain,e3ea
graphic_eq,Graphic Eq,e1b8
grass,Grass,f205
grid_off,Grid Off,e3eb
grid_on,Grid on,e3ec
grid_view,Grid View,e9b0
group,Group,e7ef
group_add,Group Add,e7f0
group_work,Group Work,e886
groups,Groups,f233
